Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
ENTPD2,0.456689811031385,0.0108843793461582,0.0108843793461582,1
PRKD2,0.699622889172003,0.0108852580130341,0.0108852580130341,1
GCHFR,0.649505233575381,0.0108987446992726,0.0108987446992726,1
MAPK8IP2,0.470653996826032,0.0109052193083563,0.0109052193083563,1
RAB7A,0.62473550174365,0.0109088335472318,0.0109088335472318,1
YTHDC2,-0.394569973155352,0.0109123416335204,1,0.0109123416335204
ST13,-0.262710091422523,0.0109123416335204,1,0.0109123416335204
PBDC1,-0.314980496758039,0.0109147969029563,1,0.0109147969029563
HIF3A,0.522312970126698,0.0109190084214217,0.0109190084214217,1
TACC1,0.546881514792724,0.0109215032459865,0.0109215032459865,1
MYCBP2,0.386965013476662,0.0109215032459865,0.0109215032459865,1
HTT,-0.533063289946217,0.0109215032459865,1,0.0109215032459865
C7orf26,-0.334161027242449,0.0109396705487496,1,0.0109396705487496
SHANK2,0.469625242895742,0.0109416486174541,0.0109416486174541,1
UNC119,0.340120556764181,0.0109478164559519,0.0109478164559519,1
XIAP,-0.314799969101106,0.0109486014962043,1,0.0109486014962043
SQLE,0.832782222006028,0.0109495610674455,0.0109495610674455,1
ADRA2C,0.409025022664712,0.010952552779248,0.010952552779248,1
NYX,0.482111879852611,0.0109550235149487,0.0109550235149487,1
SESN1,0.40020734983863,0.0109550235149487,0.0109550235149487,1
VDAC3,0.22813371297862,0.0109550235149487,0.0109550235149487,1
ZNF671,-0.451203420255613,0.0109550235149487,1,0.0109550235149487
PSEN1,0.411923063906039,0.0109653880125691,0.0109653880125691,1
OAS3,-0.767635911506954,0.0109656755769392,1,0.0109656755769392
GIN1,-0.340800914383199,0.0109725607643763,1,0.0109725607643763
STYXL1,0.262339437071249,0.0109737513925387,0.0109737513925387,1
GABPB1-AS1,-0.625804837634353,0.0109737513925387,1,0.0109737513925387
USP2,0.569192835072468,0.0109737757198074,0.0109737757198074,1
GLTP,-0.311580552002752,0.0109741261740958,1,0.0109741261740958
ESRRB,0.475272576336876,0.0109741412432634,0.0109741412432634,1
TRIM63,0.383076770450701,0.0109741412432634,0.0109741412432634,1
LOC100506679,0.432774553319832,0.0109758252562987,0.0109758252562987,1
C14orf132,-0.441575327813959,0.0109777923296406,1,0.0109777923296406
DENND4A,-0.594000433989771,0.0109848846132881,1,0.0109848846132881
TP73,-0.506067582184928,0.0109870114221564,1,0.0109870114221564
UNC93B1,0.424829971133732,0.0109969814277319,0.0109969814277319,1
NF2,-0.424537677395183,0.0109999629723699,1,0.0109999629723699
FER,-0.326784505753841,0.0110017105318575,1,0.0110017105318575
BTF3L4,0.275040568861552,0.0110061261703425,0.0110061261703425,1
ZNF619,-0.464878135632079,0.011017309775261,1,0.011017309775261
BTBD11,-0.437083046335592,0.0110192412530064,1,0.0110192412530064
